Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon
M,LGW,LON,TRN,TRN,International,Apr-22,7,51.5072178,-0.1275862,45.0703155,7.6868552
L,LGW,LON,INV,INV,Domestic,Apr-22,54,51.5072178,-0.1275862,57.477773,-4.224721
M,LHR,LON,CFU,CFU,International,Apr-22,3,51.5072178,-0.1275862,39.6242621,19.9216777
M,LHR,LON,CDG,PAR,International,Apr-22,3,51.5072178,-0.1275862,48.8575475,2.3513765
L,LGW,LON,SOF,SOF,International,Apr-22,25,51.5072178,-0.1275862,42.6977082,23.3218675
L,LTN,LON,NAP,NAP,International,Apr-22,9,51.5072178,-0.1275862,40.8517983,14.26812
M,LHR,LON,CPT,CPT,International,Apr-22,18,51.5072178,-0.1275862,-33.922087,18.4231418
M,LHR,LON,DRW,DRW,International,Apr-22,60,51.5072178,-0.1275862,-12.4637333,130.8444446
M,LHR,LON,IST,IST,International,Apr-22,13,51.5072178,-0.1275862,41.0082376,28.9783589
M,LGW,LON,RAK,RAK,International,Apr-22,8,51.5072178,-0.1275862,31.6225224,-7.9898258
L,STN,LON,BRE,BRE,International,Apr-22,48,51.5072178,-0.1275862,53.0792962,8.8016937
L,LTN,LON,KRK,KRK,International,Apr-22,51,51.5072178,-0.1275862,50.0646501,19.9449799
M,LHR,LON,LIN,MIL,International,Apr-22,5,51.5072178,-0.1275862,45.468503,9.1824027
L,LTN,LON,LPA,LPA,International,Apr-22,13,51.5072178,-0.1275862,27.9202202,-15.5474373
L,LGW,LON,CTA,CTA,International,Apr-22,4,51.5072178,-0.1275862,37.5078836,15.0830032
M,LHR,LON,DXB,DXB,International,Apr-22,43,51.5072178,-0.1275862,25.2048493,55.2707828
L,STN,LON,KUN,KUN,International,Apr-22,2,51.5072178,-0.1275862,54.8985207,23.9035965
